id,Country,ne_50m_admin_0_countries_lakes_adm0_a3,var1_usersper100,var2_avgconnection,var3_politicalrights,var4_civilib,var5_politcalfiltr
183,United Kingdom,GBR,91.61,13853,1,1,0
184,United States of America,USA,87.36,14240,1,1,0
185,Uruguay,URY,61.46,6198,1,1,no data
186,Uzbekistan,UZB,43.55,2525,7,7,4
187,Vanuatu,VUT,18.8,1793,2,2,no data
188,Venezuela,VEN,57,1639,5,5,0
189,Vietnam,VNM,48.31,3828,7,5,4
190,Yemen,YEM,22.55,981,7,6,3
191,Zambia,ZMB,17.34,1425,3,4,no data
192,Zimbabwe,ZWE,19.89,4032,5,5,0
